name,Character Importance,Eye Color,Hair Color,Skin,Build,Demeanor,Note,Birth,Death,Age 1281,Age 1298,Predominate Location,Motifs,Image
Ralph de Monthermer,Minor,Emerald green,Golden Ringlets,PALE,"Handsome, thin",upstart,"Married Gilbert de Clairs widow, earl of Gloucester and Hertford",1270,1325,,28,York Parliament/Falkirk,,ralph-de-monthermer.png
Prince Bishop Bek,Major,BROWN,BROWN,PALE,"Tall, Thin",Austere countance,"Prince-Bishop of Durham. Magnificent, intimidating, and politically formidable. Blends genuine faith with absolute authority; frames war as divine mandate.",1245,1311,,53,York Parliament/Falkirk,,prince-bishop-bek.png
King Edward I,Minor,"slightly drooping left eye, chesnut brown","Curly black, grey streaked","Weathered and sun-browned from years of campaigning; lined, rugged, and slightly pallid with age.","Exceptionally tall (well over 6 feet), long-limbed, broad-shouldered, and powerfully built despite age; a warrior’s frame even late in life.","Towering, relentless, iron-willed; judge-like in presence and expectation.","King of England. Ruthless, brilliant, and relentlessly pragmatic. Frames conquest as order restored and demands absolute commitment.",1239,1307,,59,York Parliament/Falkirk,,king-edward-i.png
John Langton,Minor,GREY-BLUE,"DARK BROWN, MEDIUM LENGTH",FAIR,"MEDIUM, LEAN","lord chancellor, keeper of seal, modest background, well liked","lord chancellor, keeper of seal, modest background, well liked",1260,1337,,38,York Parliament/Falkirk,,john-langton.png
Walter Langton,Minor,BLUE,"MEDIUM LENGTH, DARK BROWN",FAIR,"SMALL, SQUAT, OVERWEIGHT",,"lord treasure, Bishop of lichfield, speculated to have dabbled in witchcraft",1243,1321,,55,York Parliament/Falkirk,,walter-langton.png
Henry of Newark,Minor,BROWN,BLONDE,FAIR,"TALL, LEAN",,Archbishop of YORK,1248,1299,,40,York Parliament/Falkirk,,henry-of-newark.png
Edward Chartney,Minor,BROWN,WHITE HAIR,Fair,"MEDIUM, BIG",,"barkeep/tavernowne,knows the gossip from many towns, Owner of the Black Stag. Ambiguous benefactor and predator; emblem of moral compromise tolerated until it threatens the vulnerable.",,,,,,,edward-chartney.png
Vicar Goldringe,Major,GREY-BLUE,GREY,FAIR SKINNED,"TALL, LEAN",,"Vicar of St. Andrews, Clergyman allied with prejudice and institutional power. Uses theology as a weapon to challenge legitimacy and reinforce hierarchy.",1247,,,51,,,Vicar-Goldringe.png
Mabil Bolam,Major,Sky Blue Eyes,Blonde,"Fair skinned, Rosy cheeks",,"caring, sisterly","Maid Of Lady Gillan, Loyal, nurturing, and discreet; offers the safety of female solidarity.",1287,,,11,,,Mabil-Bolam.png
Lucas Tailboys,Major,BROWN,BLACK,FAIR,"TALL, WELL MUSCLED","LEVEL-HEADED, DETERMINED","SHERIFF OF NORTHUMBERLAND, Efficient, quiet enforcer of royal will; delivers judgment without spectacle.",1258,1316,,40,,,Lucas-Tailboys.png
